,restaurant_name,restaurant_url,avg_review_score,reviews,type_of_cuisine,street,zip_code,city
0,BURGER KING ®,https://www.lieferando.de/en/menu/burger-king-berlin-schoenhauser-allee,4.0,210,"Snacks, American, Burgers",Schönhauser Allee 79-80,10439,Berlin
1,Bowl Time,https://www.lieferando.de/en/menu/bowl-time,4.5,10,"Falafel, Asian, Poke bowl",Danziger Straße 61,10435,Berlin
2,BURGER KING ®,https://www.lieferando.de/en/menu/burger-king-berlin-mitte-bahnhof,2.5,217,"Snacks, American, Burgers",Georgenstraße 14-18,10117,Berlin
3,BURGER KING ®,https://www.lieferando.de/en/menu/burger-king-berlin-europaplatz,2.0,777,"Snacks, American, Burgers",Europaplatz 1,10557,Berlin
4,Bring Bakery,https://www.lieferando.de/en/menu/bring-bakery,4.0,14,"Breakfast, Desserts",Beusselstraße 31,10553,Berlin
5,O'Tacos,https://www.lieferando.de/en/menu/otacos-berlin-spandauer-strasse,3.5,4,"French, 100% Halal, Wraps",Spandauer Straße 4,10178,Berlin
6,Kreuzburger,https://www.lieferando.de/en/menu/kreuzburger-friedrichshain,4.5,11519,"American, Burgers, Vegan",Ebertystraße 4,10249,Berlin
7,Xi Gon,https://www.lieferando.de/en/menu/xi-gon,4.5,5706,"Sushi, Vietnamese, Asian",Petersburger Platz 2,10249,Berlin
8,Habba Habba,https://www.lieferando.de/en/menu/habba-habba-berlin,4.0,3808,"Arab, Falafel, Wraps",Kastanienallee 15,10435,Berlin
9,Riga's Pizza Box,https://www.lieferando.de/en/menu/riga-s-pizza-box-berlin-berlin,4.5,9370,"Italian style pizza, Burgers, Pasta",Rigaer Straße 56,10247,Berlin
10,Maison Viet Restaurant,https://www.lieferando.de/en/menu/maison-viet-10437,5.0,1891,"Sushi, Vegetarian, Poke bowl",Göhrener Straße 6,10437,Berlin
11,Dunkin' Donuts,https://www.lieferando.de/en/menu/dunkin-donuts-berlin-badstrasse,4.5,138,"Cake, Desserts",Badstraße 4,13357,Berlin
12,Dunkin' Donuts,https://www.lieferando.de/en/menu/dunkin-donuts-berlin-unter-den-linden,4.5,23,"Cake, Desserts",Unter den Linden 78,10117,Berlin
13,Dawat Indische Spezialitäten,https://www.lieferando.de/en/menu/dawat-indische-spezialitaeten,4.5,5004,"Indian, Lunch, Curry",Celsiusstr. 56,12207,Berlin
14,Madni Indische Spezialitäten,https://www.lieferando.de/en/menu/madni,4.5,8825,"Indian, Vegan, Pakistani",Prinzenallee 27,13359,Berlin
15,ComCha Vegan,https://www.lieferando.de/en/menu/comcha-vegan,0.0,0,"Spanish/Tapas, Vietnamese, Vegan",Dresdener Straße 15 rechts,10999,Berlin
16,Café Old Style,https://www.lieferando.de/en/menu/cafe-old-style,0.0,0,"Cake, Italian style pizza, Burgers",Müllerstraße 147,13353,Berlin
17,Restaurant Machiavelli,https://www.lieferando.de/en/menu/restaurant-machiavelli-berlin-1,3.5,232,"Italian style pizza, Burgers, Pasta",Albrechtstraße 13,10117,Berlin
18,Miu Lunch,https://www.lieferando.de/en/menu/miu-lunch,0.0,0,"Drinks/Snacks, Asian, Poke bowl",Reinhardtstraße 47a,10117,Berlin
19,O'Tacos,https://www.lieferando.de/en/menu/otacos-berlin-gesundbrunnen-badstrasse,0.0,0,"French, 100% Halal, Wraps",Badstraße 4,13357,Berlin
20,Pablo Coffee,https://www.lieferando.de/en/menu/pablo-coffee,0.0,0,Breakfast,Oranienstraße 35,10999,Berlin
